30000 30000
1785 7804 2869
28939 15663 2167
23340 16761 6514
29364 1192 8217
22755 19218 21619
16024 8354 19605
7270 20040 20907
1936 6395 19642
15475 24448 412
23299 218 10830
2725 10712 14087
16525 10492 23086
382 23353 18745
21836 8430 18087
29811 9667 16652
7010 16035 29268
20595 22252 16524
26427 26830 13082
6975 8700 11609
8445 6549 191
17511 5870 26007
26376 12511 24785
25265 3904 25643
6309 18670 7236
8804 29002 8183
6140 21108 21512
27117 5506 6429
17264 9121 12847
23308 21558 11350
12738 16822 8578
16616 4000 28496
14296 10603 24507
992 6895 27900
26443 28688 5670
15089 8866 4406
4232 5894 3612
3238 16445 15519
8544 12425 25209
2164 22149 26339
1024 23527 5444
18333 24979 27337
12081 24057 294
14233 18876 3444
20396 25952 2321
2743 1125 11610
22513 5771 20328
11605 2588 208
6536 11412 27551
10657 10113 18135
4716 14846 19551
2261 10126 6891
7781 24647 9642
23264 3930 26658
23324 24791 9164
11604 27086 25859
4035 20874 5105
29249 9065 25878
14099 17747 26280
3456 890 9963
6820 1463 18332
6636 13870 4834
14180 27307 18137
18015 11806 3073
8761 6150 5429
3001 21651 4367
25847 16007 17818
5516 14937 24894
11462 13508 25488
5521 10275 1638
10050 25100 18912
29448 10152 22567
4093 3819 10691
14483 8269 9476
9005 19028 16880
17391 25345 18575
12581 1460 17923
4478 12149 19318
4244 9377 27703
2557 4248 15768
19839 1799 22897
22395 216 9265
29545 9199 28955
3117 22664 3312
27900 2965 22804
17310 20447 24280
16108 1665 26600
12220 17446 7297
8634 16358 24833
22674 5296 5241
12010 15640 16077
8065 2744 21619
16675 23169 27112
28108 2271 28836
26325 11815 13642
22271 11714 9604
193 26528 9551
7266 21396 13975
24077 17622 14138
12003 14633 4916
18859 25655 12585
23126 12300 6067
15824 7160 14512
5074 13789 2537
7059 21873 4430
8380 14727 23429
28030 8836 3617
27628 18648 14362
20032 27907 775
2245 18583 25568
23181 9706 17927
14946 24522 28790
13828 25424 24186
3029 18181 5813
13148 14900 83
5364 4838 8047
1623 17289 4288
10808 12175 11232
24467 4241 10647
7668 26199 18561
3701 27364 2077
11409 1336 5936
7581 27472 20241
6647 26572 24565
18232 14825 6034
29778 11199 8699
8599 26776 13718
5054 16744 11087
23149 20939 2343
12138 19635 29824
15034 20022 4145
91 28879 26610
24706 20189 11664
26265 10401 5992
5295 28689 5481
21442 5336 29257
2805 27780 17376
9739 20979 9080
2943 3082 2383
11607 13133 16492
4150 18877 608
25082 23687 28342
6627 4143 15652
7999 7027 6805
21410 13576 5998
12032 13236 12056
24034 17658 9398
4336 5109 15877
9080 16037 15754
23161 5732 5460
28935 18581 5451
27252 4525 22034
27890 17788 26679
10352 23026 22852
19437 22228 19550
20837 14632 23013
15907 17032 22230
15333 22491 8240
7317 9762 5137
29919 12913 6586
12651 22044 2749
13583 11654 28036
12159 23621 20450
16920 9206 15956
28594 20928 14275
19948 25187 14073
377 948 15389
13936 918 13949
7709 19042 14970
1652 29978 13019
2032 20563 21092
21398 3330 14943
2282 21622 29760
12108 8376 6335
27774 2528 13862
18799 529 15872
28185 17070 16447
6149 8928 27018
16550 26765 8777
25191 22105 23177
12548 22976 13624
1701 10507 20936
11728 2082 18305
1562 16977 20798
731 8103 27925
170 979 26074
28349 22398 22739
18215 6615 20667
12445 3157 23175
8502 18667 12020
16028 23389 8539
2408 25296 5989
4617 28459 26433
21524 21144 21733
6855 20517 78
16043 17415 27623
12991 15053 11278
15963 22947 25442
5155 26304 27286
26058 23593 10656
23705 1267 13944
17721 2144 26025
14028 9195 12555
12568 24930 28782
9136 15767 7286
23277 18681 11191
9597 4716 2912
5765 11352 23559
2296 29946 19777
11694 5782 24778
18389 2394 10973
20532 3919 11583
13069 15716 3725
22243 5682 12432
9302 13681 7481
23735 6527 596
20203 16758 19382
13413 28192 2432
25595 26051 8016
3627 26051 6723
6142 22771 8812
21461 12008 23971
1918 15934 23601
9220 29645 22018
169 24267 22109
28708 23296 14143
20799 25525 21305
8547 27498 19638
29037 15572 18622
11562 5926 18306
7554 17956 24324
15285 28593 26212
24689 529 28967
24565 12823 22244
1005 11604 20752
10867 8990 11945
6278 11399 27122
20650 13175 5637
22857 21519 11774
21942 26268 28532
15856 9335 22956
21683 18400 22475
25370 14750 5681
21573 28515 27297
21277 12412 9776
11627 811 8082
29820 9350 25970
12757 19702 19115
25218 5437 6838
19282 7873 7094
8620 24851 6349
3477 1895 11079
25298 20377 10829
16773 5515 21421
15030 23494 14102
12661 12483 2844
9681 8970 11096
8402 28386 26765
1993 17140 22024
7905 2724 27567
26159 362 27599
13655 20894 28694
11361 5184 13830
18481 27168 4696
24136 19020 20562
24183 7886 17133
5434 6890 8883
24142 24826 27853
19669 10982 26880
23010 11947 8425
3465 3008 18228
748 4031 6741
11737 11671 10828
25582 15059 23195
28905 10709 5660
24512 11346 21393
8460 2177 6239
16171 13360 21611
9074 4735 5068
12024 20443 12776
9415 26426 4638
11127 17777 17241
12202 21335 18299
7378 12031 6953
15872 9010 13643
2141 18644 22874
8894 12654 5848
13038 24040 2076
4357 26924 13979
7271 2573 9874
3378 13752 3767
1423 10974 4458
5665 17649 6365
6395 4007 17836
29493 11916 9069
5843 10302 26292
21113 27713 20943
6836 22551 28722
2066 3853 19808
15207 2336 6614
3227 6461 6065
20747 12485 19151
24815 19650 25469
10163 26335 26294
28436 7420 11008
25946 7894 1408
2271 17787 26775
19644 8745 22267
5429 10405 12831
15179 2936 16112
5548 10653 1732
19819 11601 29471
27402 9279 20129
14852 22420 29701
11914 13618 20768
18915 11635 4635
27267 11091 10624
14252 28061 17856
15940 8297 13616
15990 3620 1349
14820 14605 7238
3410 26609 4056
11752 16726 15519
17870 25933 1287
2781 8331 16272
19248 15254 5154
13996 4304 393
5865 11778 17504
4031 18554 3500
15136 21941 27158
17079 18392 19051
14444 8874 27885
24889 10261 3711
23283 3530 1600
1900 25181 23842
11685 14932 24236
27623 5407 14012
4416 17933 11268
13124 10678 25910
27728 18182 7458
6087 18331 6166
29440 2810 6497
25372 4560 12477
13879 4767 10931
20671 29290 21367
13041 3763 19364
15141 14543 15347
17800 7577 21601
26400 15150 24819
11431 16026 11224
7096 9043 29644
27649 29873 13746
24313 2011 26764
3888 17774 17503
78 16467 18821
29165 15416 15850
28060 19939 19482
25451 21829 4146
8730 12777 7979
9408 14357 20484
24552 4183 12223
28377 29561 7010
22754 12682 19907
7074 15678 13934
2015 10197 28985
16487 4686 14959
12854 26713 13923
18966 4889 13625
1144 27724 26249
7098 13835 20225
28991 27330 775
9863 1588 28012
14394 12872 1161
20123 5272 3688
21784 17792 23747
26471 4085 1114
20083 21362 28519
6111 3003 22733
17133 11610 4935
24721 3301 20867
5986 22515 22952
27167 14927 7121
27298 15462 21996
13574 20749 5366
2263 4437 12839
13015 14344 25387
17841 16215 18236
14243 29057 11883
3173 13257 7627
26633 11667 7874
28360 11235 10878
10227 23345 951
12270 26940 21297
26902 9012 26577
4448 24327 18986
3888 21297 8974
19812 16167 3567
26961 9665 14510
9773 19182 5571
19383 15834 1260
3705 11172 25119
12679 18245 28444
18463 21335 5856
2866 14052 19881
2581 14642 6475
4950 10318 124
4811 18221 2525
25021 10394 13402
9337 19054 16063
22012 28274 20001
18772 20949 22553
15803 7030 20522
29990 4951 21040
27247 4 24760
29992 24124 8578
14152 23830 61
3263 22844 12117
3335 14046 12523
16961 3914 15451
7750 22490 10164
5769 17647 28579
7753 6270 12305
13973 20002 9407
16125 12021 5971
2495 16021 495
25071 23327 15252
17544 22152 6607
27888 26516 10195
22221 18388 20375
7378 15095 10111
23980 20501 20320
27946 11767 28735
34 29204 27325
8971 10520 12035
26736 12219 10118
88 9076 5964
25973 8021 9282
14072 28507 6759
12242 880 4225
4949 25167 13972
14726 17921 4134
5434 23385 12504
19134 4273 664
8772 7511 17992
13781 6145 29682
6667 17132 14982
6676 27951 1341
6363 16638 21191
6997 25130 7002
15679 18487 16034
22407 28386 29528
28438 14802 7755
19268 7502 18513
21943 3729 27095
13945 4850 12776
7622 11383 7913
11720 20235 29463
23663 16550 3703
230 19478 5555
19109 6933 4108
3458 3852 18736
759 25898 24637
9140 25145 25027
27359 21914 8724
11064 8079 174
3933 27291 14287
25649 28394 15648
15884 28538 22088
11549 16546 2715
5240 8556 3438
16550 29729 93
17666 7127 327
10067 25771 10598
12984 14109 721
5228 22803 11499
5207 19917 5334
11903 21161 19672
24737 10212 8947
17511 19477 6951
28271 22427 19600
1536 20544 596
436 23639 10468
25956 7648 12204
13201 23929 22629
28325 14523 21387
15952 3726 17568
21863 1255 26652
22869 3614 399
28012 1821 9416
706 12637 7139
3863 9838 3876
27117 15263 10723
16536 25731 14938
16812 26578 6063
24278 19487 19745
17945 11787 24402
7811 4361 26575
11222 5078 7715
22301 11196 29010
27719 8271 12917
19132 7420 4391
4754 29978 24982
3552 22022 9785
24948 17336 19780
22458 29233 12132
28799 6765 8597
25024 25608 1466
14067 23087 13174
3161 22156 8526
15503 24163 8966
14775 20320 14627
7305 22017 6196
24893 26095 13046
25041 636 1412
20833 10172 14157
201 18604 5958
29943 16316 25951
12838 5903 7721
10638 14443 8301
16473 4659 14497
13267 24139 25227
25565 17613 18674
12219 26690 19596
23250 17054 25440
14049 6073 20024
17809 25069 13632
3005 1895 17704
25181 27704 21562
6992 2735 8862
5013 29503 7740
12757 12448 21070
27571 22404 20528
22998 10371 21274
17577 18473 15912
22791 18658 22456
22874 18844 22487
8533 5743 16042
14375 28373 14484
27246 5425 13089
18561 22762 29560
16893 5024 23145
14077 12944 8413
15184 14931 9875
1714 18074 26190
5978 248 12908
17752 20472 14191
22282 29001 166
22768 23125 23623
14779 22683 22548
8329 13972 22706
26286 12973 8816
21279 19570 3856
19082 19219 16716
920 22892 16937
28192 20695 15794
8237 17877 15724
11996 21865 5353
12212 17579 14193
3875 2510 27691
17107 16060 19373
24552 3919 23043
389 18765 1301
8576 15761 22421
572 19996 8601
23662 29333 7368
8768 13833 7341
1421 104 24618
4679 23709 17632
9770 20385 4914
28826 10950 260
5586 21980 13485
27195 25599 22110
10922 2301 8743
22630 23381 16245
4273 25005 24347
18897 7009 9661
8240 22689 24886
16804 19649 4244
18955 23791 9425
28797 23458 27789
12477 22831 3030
19385 11216 4800
9435 28203 24946
85 18767 23550
22901 516 3228
21788 14162 6827
12786 13529 15911
16394 2987 12488
23831 6807 13184
3633 24715 19193
18935 8169 5071
6478 29569 9466
5001 9122 2166
25932 3586 14161
25507 8377 11236
20713 3325 8776
17350 22908 18166
7550 3846 27766
10876 29001 14771
6765 29496 8232
11280 23671 10401
27199 7588 8755
7964 22896 9796
15532 43 1789
10825 12253 25250
22049 1795 23730
13207 13119 18561
10177 8728 16404
8913 15022 19614
1959 1939 25403
8514 22900 29675
27037 5445 27320
29059 7520 7212
25036 10037 16157
24777 6851 12705
21991 10207 19550
23711 9911 9936
20690 15601 24604
11164 16405 9465
23847 21622 29592
15717 2941 9654
24266 7772 19128
15727 19327 2862
26088 6560 10035
21956 14122 17036
11611 24015 25503
23444 13288 20749
8191 33 3019
1644 3535 3608
18156 2950 3260
29432 26168 28223
4067 15209 17177
14190 801 4384
11399 25525 22175
7448 15289 1526
14322 7307 15524
6017 8735 12701
24632 2041 29405
7713 10128 6419
24441 8134 7634
13677 26078 26091
2122 24958 2990
9368 11983 6946
9531 2973 7591
136 25453 19446
4651 21316 21880
27681 3199 3826
28357 12802 1619
15803 20542 16832
3545 6583 2778
5035 16154 26853
25464 20078 24833
18318 29608 14205
18659 12001 4378
12617 2371 14150
6296 9848 13511
677 9698 144
8229 4961 6901
18663 339 26300
20139 8876 24452
29392 6310 3011
26137 2970 21116
19957 4328 13421
16716 10943 8295
29417 3760 21418
6064 23485 27836
18647 26404 2731
17126 11501 17796
8778 23991 6173
4642 22445 16950
12900 21906 18494
23439 23325 283
13676 16872 17325
28702 29562 10556
14395 2438 16205
7877 24162 21861
23408 1419 25903
16670 28732 18281
12997 16309 9852
15331 19108 17218
25969 26763 23195
11321 16278 3620
27614 3799 21358
2482 18281 21296
14136 22755 29654
20166 3606 10332
22465 26380 2621
29800 29971 4957
20002 11365 22354
5899 1815 24672
14059 27041 26027
11114 20127 2894
10028 20280 23471
10692 5838 6063
1500 28876 7727
9554 20970 17496
4052 27731 649
8236 13417 27347
26704 19582 918
21958 19998 16624
8769 21165 15467
5562 26648 11807
3024 28786 26619
28128 4943 24302
8626 18849 25661
28559 18444 27986
3570 16106 23844
6497 7595 11867
28726 7013 29003
26959 17225 1942
15891 1687 3802
11468 26054 23561
23135 19770 6298
11585 28011 13700
22863 28298 18135
29651 11443 1799
11470 15922 22421
10567 5817 9079
14715 25208 7393
10330 5229 25913
13645 9989 16779
22497 15298 19273
27016 1176 20703
29030 35 6842
9215 9756 17519
25706 9119 5308
24775 26200 20214
20760 7899 26172
6645 26763 27208
17859 5737 12031
10490 12713 7622
9961 18885 20375
2117 2363 27003
12287 22077 19646
11868 11927 28010
18599 2474 3768
9239 25739 19249
16703 13843 18368
19652 4178 22614
24691 5061 22615
8661 7302 16887
9757 16097 17216
7126 2828 4747
2829 21787 11530
22041 24043 4271
118 28736 17536
18100 4236 18379
392 28963 10727
26603 22728 6994
1107 26724 14947
17602 8922 23084
5486 8899 20624
7283 23208 9208
11691 9183 6811
13592 9471 25504
24102 1003 19045
10071 10887 29037
370 12909 6677
20997 15876 29997
26137 3286 8134
29599 19626 22675
3768 27289 15531
20530 20673 11605
3840 17935 17119
6188 18035 14261
26818 17267 15134
4061 2348 16041
6797 26693 12604
7747 6448 29314
12397 15687 27995
20464 7283 12252
28316 24405 19250
11438 12665 15298
25953 27318 17523
6750 12425 3661
5273 18073 2691
19017 23088 26094
24693 3201 2172
438 16209 5158
1514 13786 11652
4303 29796 19122
19817 6195 23649
28168 20203 29006
8642 29609 18637
21471 11888 1581
21085 28025 29752
11501 20466 28916
18991 5103 22050
29330 18175 6739
9782 17660 14360
7198 14490 15864
16112 18483 13669
1799 10044 28063
16293 17040 26673
27461 23754 6866
14010 11008 2372
2247 12810 19983
12 21701 15161
7924 8830 9604
9015 9084 8351
4353 28353 13982
6852 26245 11509
21778 3228 25016
24260 5732 24781
18420 26908 7409
3838 10315 14067
11021 6082 3653
25832 5566 22342
29390 18499 16549
10677 17927 588
17984 7116 16610
16770 3268 180
12465 25542 12894
10117 16837 5628
29112 12488 6310
13949 6739 13423
4886 9670 4487
15493 10634 24654
28726 12527 7185
8921 7127 4131
20539 16287 8069
21297 18374 23104
16479 926 25280
349 15863 8976
21852 19964 19026
12991 26440 16091
21905 13998 219
23710 25743 8476
338 22547 1277
29906 21523 27593
16463 4834 14212
26537 23672 21305
9436 22414 778
11290 1691 13380
15188 11082 29272
7602 28261 1397
2259 15867 15257
7261 22136 4809
19022 15585 16011
24205 19724 15645
24967 7833 5760
2976 27495 20761
13882 2662 1167
13117 6428 18216
9224 5490 24978
24940 26573 26443
28323 18136 1009
20902 17745 18642
25396 14059 7900
21968 18418 4486
3503 29048 14760
26874 7459 10453
22290 29320 3980
24736 15362 21486
18946 6651 14265
26312 4623 26647
19472 28325 22532
21005 400 10507
3211 6156 8152
16445 18935 19496
29159 14872 29143
8395 23468 16484
408 8716 20590
5251 946 13675
9031 5939 4302
15981 14041 5622
2065 8043 10953
20735 14209 27928
10590 28593 18915
6583 7916 9894
7662 25525 28927
23689 26545 809
21625 23112 17973
12675 28253 4612
13091 10780 21772
22206 11216 1903
7597 5589 19134
25120 2979 28
2404 24663 29183
7838 4020 17201
16874 23766 29808
18573 24315 29710
15605 15413 15040
27434 6298 2545
15461 26340 13689
13645 16689 24704
317 15043 25643
11613 29235 2724
2749 3127 7894
1802 9981 17385
28079 29740 27833
3214 29745 29691
28762 9634 26880
2369 22789 5944
2688 8634 21176
18113 877 11732
6618 23133 16271
18075 15869 11495
15903 15742 9634
710 1180 23482
15741 14295 11677
24181 24913 17069
29461 11760 27165
8700 23314 27620
24579 24862 14817
5723 6187 8116
1645 14688 13068
9272 20213 7952
5457 5038 12264
23042 17695 17804
26113 12881 16704
9064 17115 12894
9228 18443 2048
900 27378 29445
3627 4069 20379
4151 5846 8783
27357 14409 18903
6611 6962 20415
21625 4136 13110
25003 16446 26690
27740 24891 1073
2775 12286 28863
2388 17050 2896
16561 20788 20077
21257 27930 22130
24925 20566 15566
20219 9493 26522
27256 21726 16153
21355 2627 13659
21287 28936 7081
411 9131 20416
18557 5336 5129
19868 10909 27289
11251 19929 14295
21655 20322 6364
25578 11748 22620
29182 21625 22548
13572 17412 28838
3636 24332 23208
3009 12810 26377
22903 4415 25767
12118 11560 29896
29769 11955 17922
25547 1991 7306
5892 8128 1414
6807 12826 24833
22313 10647 11613
22084 18036 21999
16799 12712 11072
15635 18065 5152
25373 12935 14544
28267 2105 21328
7606 1473 18258
26968 29305 18442
17394 27586 16988
7992 14557 12
12873 13602 27605
11945 18320 2289
26330 9941 28639
14435 21470 16011
7522 24015 26908
19981 20894 2370
3057 4091 3817
15056 10871 2986
23931 22278 278
7713 27947 10462
9832 4099 25379
10017 4065 15888
20124 7276 23919
23123 26 10323
15229 16941 5174
28778 24509 6232
12871 18724 3415
20238 21233 17495
3365 17711 18398
22717 11202 2095
12455 16491 587
19662 26470 18741
18051 24812 20526
8366 20048 23393
19561 3927 3859
8957 7020 12639
15860 29068 21467
13052 8945 1776
23968 12750 29976
22899 18129 21054
4914 5746 28162
23920 21449 282
28579 21357 14148
8867 17886 2922
10304 7238 16346
8412 25236 4730
658 18498 23914
19455 17945 29435
13344 10578 21567
25980 27589 2483
194 18637 6323
27677 15549 10651
15097 3037 19306
12069 10450 16628
22110 28471 5265
9015 3024 12905
11029 20328 5033
24343 21249 25890
17270 15340 240
7474 12299 14266
17505 26747 28509
6544 4573 3751
2517 23642 3569
22373 565 13435
9320 17532 8429
24957 961 3255
7436 1696 10378
7561 3912 15844
13022 10228 17816
15355 21669 26157
10846 10516 13372
11518 5525 20891
25867 4321 17509
3791 26843 7275
14606 4957 13767
16682 12272 8403
5340 12049 14790
5330 13769 20970
29551 18943 28392
11982 28333 27561
21809 12908 21353
13692 16030 28405
10833 21101 24818
3543 3297 9512
29977 28024 21499
11133 9728 21
3445 28123 17969
26537 26413 13326
4544 8886 12573
10555 20576 1099
17967 26933 29601
23450 24306 16711
4789 23263 6380
2327 25857 26497
26263 13265 16410
26823 7827 7528
25869 13739 26083
3568 23298 25973
22018 21678 17412
4909 901 11563
16978 29700 15638
10470 15331 24029
14751 1310 25672
9826 3214 27406
15994 19018 7193
29732 17252 21461
10345 28027 6242
3080 27255 23664
15594 24707 23386
13337 26627 12212
17884 28200 1106
17175 7935 19090
7351 16115 16033
20008 6104 14203
7325 4101 20074
28206 25271 5686
23700 25108 467
18384 25221 27742
18962 5239 18085
9599 27149 25577
17736 18001 6617
14308 445 18690
3601 15427 28318
7658 81 25299
20058 2366 16702
4107 20675 17582
671 18094 29094
21947 3843 8956
5094 8386 8085
21455 25802 18942
28460 4297 7298
10756 23225 7606
387 24880 26467
812 24704 4037
19209 29331 3680
4357 18780 4357
4071 15899 18518
20270 9529 14096
2913 26450 22009
456 20982 6620
28340 25001 21725
2158 7070 3050
21679 29180 22333
24046 30000 4873
26819 11651 9806
29244 22187 26113
16782 6704 21075
25166 11682 24542
3089 18294 29983
10693 15977 22785
25637 11119 5247
11960 13968 12505
11771 15818 23690
18677 17714 23892
23332 1248 21638
3878 4790 11621
4145 17434 24845
13638 14230 16461
18761 15374 6152
29628 22791 20948
14107 29186 26880
2374 6463 10283
9298 14673 2725
3238 27162 4401
6686 16242 11486
21833 29812 877
23013 21460 16530
20352 8526 22983
11342 22557 13519
14499 29090 6734
27007 15533 14897
4611 3482 29126
10792 18220 11738
15774 17331 339
15515 12401 10668
11058 7566 11708
5383 12431 26794
23545 28947 26381
26669 776 38
20514 19996 19499
15693 27301 16011
29037 27289 14162
29067 14141 8961
20403 5511 24258
18817 27375 496
18 21448 18573
15589 11994 18449
6846 22072 4111
10856 27906 9476
12518 16442 3638
22322 26006 25447
4467 2933 27430
27286 22456 3797
12257 9009 24256
17101 13454 592
19822 16629 3552
388 14109 17038
1625 14546 4928
10339 13616 20509
7456 28241 24594
26892 16791 3367
14269 20999 1633
14099 6551 23456
22736 25121 2255
21077 21292 29483
8226 15323 14870
1413 7222 13080
3012 6944 10431
20464 4738 15183
20385 9824 14652
9873 4546 18447
16883 6910 27161
18963 8567 21946
17932 16729 21793
9456 705 6364
1703 11477 16756
2837 361 17144
1464 27378 7199
17117 12605 16570
8401 27670 10725
24091 9920 788
4099 28192 13701
20522 3395 1030
4525 5526 6037
8587 5255 17004
11644 29460 27032
14555 16777 13347
20795 11457 2696
7950 13195 20503
842 8803 21689
26404 9047 21411
18594 1985 8
19637 23979 11637
26659 3437 11304
26319 6217 6812
5177 7285 19164
3554 22835 8370
20431 689 21579
21028 1052 4074
3602 12988 20131
13825 24423 8442
1696 5601 1544
17902 18445 4062
9752 4248 28980
4892 12397 22571
10358 3802 22324
1230 8580 14220
11426 16112 21089
17480 11733 20476
1523 14816 14389
28110 16642 10298
29341 27933 24890
28142 4940 5306
24032 24581 10224
16633 8358 2151
3339 26768 5782
17105 26751 2366
28409 5368 14287
16621 11750 28297
1804 14971 8884
5785 17321 1306
10243 4747 9237
1461 5977 17966
13961 8057 20958
19559 18721 29288
4468 18178 13588
10353 12956 26694
25890 7430 15917
26405 4502 11360
23192 15320 22590
25320 6115 2113
19986 9886 4125
18294 21363 17317
13690 26030 5161
17851 17529 6468
29124 10475 22410
24903 19937 14729
7655 22836 11653
6781 6225 13286
21296 5791 11348
28992 10465 20538
28217 14758 1924
1034 29004 13093
16479 19860 25021
25666 2867 15049
64 23959 7519
26467 17528 29992
9136 28218 25333
4049 11042 141
29264 15440 10236
